,AanestysId,KieliId,IstuntoVPVuosi,IstuntoNumero,IstuntoPvm,IstuntoIlmoitettuAlkuaika,IstuntoAlkuaika,PJOtsikko,AanestysNumero,AanestysAlkuaika,AanestysLoppuaika,AanestysMitatoity,AanestysOtsikko,AanestysLisaOtsikko,PaaKohtaTunniste,PaaKohtaOtsikko,PaaKohtaHuomautus,KohtaKasittelyOtsikko,KohtaKasittelyVaihe,KohtaJarjestys,KohtaTunniste,KohtaOtsikko,KohtaHuomautus,AanestysTulosJaa,AanestysTulosEi,AanestysTulosTyhjia,AanestysTulosPoissa,AanestysTulosYhteensa,Url,AanestysPoytakirja,AanestysPoytakirjaUrl,AanestysValtiopaivaasia,AanestysValtiopaivaasiaUrl,AliKohtaTunniste,Imported
22955,36213.0,1,2015.0,68,2015-11-20 00:00:00,2015-11-20 13:00:00,2015-11-20 13:02:30.91,Puhemiehenä toimi puhemies Maria Lohela . Puhemies ei osallistu äänestykseen.,30,2015-11-20 13:32:59.323,2015-11-20 13:32:59.323,0,"2. lakiehdotus, hyväksyminen / hylkääminen",,,,,Toinen käsittely,Toinen käsittely,13,10,"Hallituksen esitys eduskunnalle laeiksi takuueläkkeestä annetun lain 8 §:n, vammaisetuuksista annetun lain ja kansaneläkelain 103 §:n muuttamisesta",,103.0,59.0,0         ,37        ,199       ,/aanestystulos/30/68/2015,PTK 68/2015 vp,/valtiopaivaasiakirjat/PTK+68/2015,HE 50/2015 vp,/valtiopaivaasiat/HE+50/2015,,2018-06-02 10:14:00
23015,36273.0,1,2015.0,78,2015-12-09 00:00:00,2015-12-09 14:00:00,2015-12-09 14:17:39.65,Puhemiehenä toimi ensimmäinen varapuhemies Mauri Pekkarinen . Puhemies ei osallistu äänestykseen.,4,2015-12-09 14:22:37.69,2015-12-09 14:22:37.69,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,6,5,Hallituksen esitys eduskunnalle laeiksi opetus- ja kulttuuritoimen rahoituksesta annetun lain muuttamisesta ja vapaasta sivistystyöstä annetun lain muuttamisesta,,117.0,55.0,0         ,27        ,199       ,/aanestystulos/4/78/2015,PTK 78/2015 vp,/valtiopaivaasiakirjat/PTK+78/2015,HE 79/2015 vp,/valtiopaivaasiat/HE+79/2015,,2018-06-02 10:14:00
23069,36327.0,1,2015.0,82,2015-12-15 00:00:00,2015-12-15 10:00:00,2015-12-15 10:01:41.597,Puhemiehenä toimi puhemies Maria Lohela . Puhemies ei osallistu äänestykseen.,11,2015-12-15 10:14:20.533,2015-12-15 10:14:20.533,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,10,9,Hallituksen esitys eduskunnalle laeiksi työttömyysetuuksien rahoituksesta annetun lain ja työttömyysturvalain muuttamisesta,,140.0,42.0,0         ,17        ,199       ,/aanestystulos/11/82/2015,PTK 82/2015 vp,/valtiopaivaasiakirjat/PTK+82/2015,HE 94/2015 vp,/valtiopaivaasiat/HE+94/2015,,2018-06-02 10:14:00
24343,37601.0,1,2016.0,128,2016-12-09 00:00:00,2016-12-09 13:00:00,2016-12-09 13:01:22.57,Puhemiehenä toimi puhemies Maria Lohela . Puhemies ei osallistu äänestykseen.,56,2016-12-09 13:44:16.777,2016-12-09 13:44:16.777,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,17,13,Hallituksen esitys eduskunnalle laeiksi valtion rahoituksesta evankelis-luterilaiselle kirkolle eräisiin yhteiskunnallisiin tehtäviin annetun lain 2 §:n ja ortodoksisesta kirkosta annetun lain 119 §:n muuttamisesta,,96.0,63.0,0         ,40        ,199       ,/aanestystulos/56/128/2016,PTK 128/2016 vp,/valtiopaivaasiakirjat/PTK+128/2016,HE 247/2016 vp,/valtiopaivaasiat/HE+247/2016,13,2018-06-02 10:14:00
24387,37645.0,1,2016.0,132,2016-12-13 00:00:00,2016-12-13 09:30:00,2016-12-13 09:35:35.347,Puhemiehenä toimi toinen varapuhemies Arto Satonen . Puhemies ei osallistu äänestykseen.,19,2016-12-13 14:15:15.323,2016-12-13 14:15:15.323,0,"2. lakiehdotus, hyväksyminen / hylkääminen",,,,,Toinen käsittely,Toinen käsittely,10,9,Hallituksen esitys eduskunnalle laeiksi opetus- ja kulttuuritoimen rahoituksesta annetun lain muuttamisesta ja väliaikaisesta muuttamisesta sekä vapaasta sivistystyöstä annetun lain muuttamisesta,,101.0,63.0,0         ,35        ,199       ,/aanestystulos/19/132/2016,PTK 132/2016 vp,/valtiopaivaasiakirjat/PTK+132/2016,HE 177/2016 vp,/valtiopaivaasiat/HE+177/2016,9,2018-06-02 10:14:00
24389,37647.0,1,2016.0,132,2016-12-13 00:00:00,2016-12-13 09:30:00,2016-12-13 09:35:35.347,Puhemiehenä toimi toinen varapuhemies Arto Satonen . Puhemies ei osallistu äänestykseen.,20,2016-12-13 14:15:46.027,2016-12-13 14:15:46.027,0,"1. lakiehdotus, hyväksyminen / hylkääminen",,,,,Toinen käsittely,Toinen käsittely,10,9,Hallituksen esitys eduskunnalle laeiksi opetus- ja kulttuuritoimen rahoituksesta annetun lain muuttamisesta ja väliaikaisesta muuttamisesta sekä vapaasta sivistystyöstä annetun lain muuttamisesta,,109.0,54.0,0         ,36        ,199       ,/aanestystulos/20/132/2016,PTK 132/2016 vp,/valtiopaivaasiakirjat/PTK+132/2016,HE 177/2016 vp,/valtiopaivaasiat/HE+177/2016,9,2018-06-02 10:14:00
25067,38325.0,1,2016.0,139,2016-12-21 00:00:00,2016-12-21 10:00:00,2016-12-21 09:59:19.557,Puhemiehenä toimi puhemies Maria Lohela . Puhemies ei osallistu äänestykseen.,1,2016-12-21 10:02:36.203,2016-12-21 10:02:36.203,0,"Mietintöön sisältyvä lausumaehdotus, hyväksyminen / hylkääminen",,,,,Toinen käsittely,Toinen käsittely,6,3,"Hallituksen esitys eduskunnalle laeiksi perusopetuslain 29 §:n, lukiolain, ammatillisesta peruskoulutuksesta annetun lain 28 ja 35 a §:n, oppilas- ja opiskelijahuoltolain sekä opetus- ja kulttuuritoimen rahoituksesta annetun lain 24 §:n muuttamisesta",,106.0,56.0,0         ,37        ,199       ,/aanestystulos/1/139/2016,PTK 139/2016 vp,/valtiopaivaasiakirjat/PTK+139/2016,HE 206/2016 vp,/valtiopaivaasiat/HE+206/2016,3,2018-06-02 10:14:00
25995,39253.0,1,2017.0,133,2017-12-08 00:00:00,2017-12-08 13:00:00,2017-12-08 13:02:59.303,Puhemiehenä toimi puhemies Maria Lohela . Puhemies ei osallistu äänestykseen.,13,2017-12-08 13:13:27.287,2017-12-08 13:13:27.287,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,8,5,Hallituksen esitys eduskunnalle laeiksi opetus- ja kulttuuritoimen rahoituksesta annetun lain ja vapaasta sivistystyöstä annetun lain 11 b §:n muuttamisesta,,99.0,84.0,0         ,16        ,199       ,/aanestystulos/13/133/2017,PTK 133/2017 vp,/valtiopaivaasiakirjat/PTK+133/2017,HE 99/2017 vp,/valtiopaivaasiat/HE+99/2017,5,2018-06-02 10:14:00
27891,41151.0,1,2018.0,54,2018-05-22 21:00:00,2018-05-23 11:00:00,2018-05-23 10:59:45,Puhemiehenä toimi toinen varapuhemies Tuula Haatainen . Puhemies ei osallistu äänestykseen.,1,2018-05-23 11:02:46,2018-05-23 11:02:46,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,3,2,Hallituksen esitys eduskunnalle laeiksi uusiutuvilla energialähteillä tuotetun sähkön tuotantotuesta annetun lain ja tuulivoiman kompensaatioalueista annetun lain 6 §:n muuttamisesta,,148.0,15.0,0         ,36        ,199       ,/aanestystulos/1/54/2018,PTK 54/2018 vp,/valtiopaivaasiakirjat/PTK+54/2018,HE 175/2017 vp,/valtiopaivaasiat/HE+175/2017,2,2018-05-24 00:00:22.785515
28269,41529.0,1,2018.0,122,2018-11-28 00:00:00,2018-11-28 14:00:00,2018-11-28 14:01:56,Puhemiehenä toimi puhemies Paula Risikko . Puhemies ei osallistu äänestykseen.,3,2018-11-28 14:05:40,2018-11-28 14:05:40,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,4,3,Hallituksen esitys eduskunnalle laeiksi opetus- ja kulttuuritoimen rahoituksesta annetun lain muuttamisesta ja väliaikaisesta muuttamisesta sekä vapaasta sivistystyöstä annetun lain 11 b §:n muuttamisesta,,87.0,79.0,0         ,33        ,199       ,/aanestystulos/3/122/2018,PTK 122/2018 vp,/valtiopaivaasiakirjat/PTK+122/2018,HE 126/2018 vp,/valtiopaivaasiat/HE+126/2018,3,2020-10-16 12:00:00
