,JakaumaId,AanestysId,Ryhma,Jaa,Ei,Tyhjia,Poissa,Yhteensa,Tyyppi,Imported
637697,1006480,36213.0,Keskustan eduskuntaryhmä,39.0,0.0,0         ,10        ,49        ,eduskuntaryhma,2018-02-06 11:17:00
637698,1006481,36213.0,Kansallisen kokoomuksen eduskuntaryhmä,31.0,0.0,0         ,6         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
637699,1006482,36213.0,Perussuomalaisten eduskuntaryhmä,33.0,0.0,0         ,4         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
637700,1006483,36213.0,Sosialidemokraattinen eduskuntaryhmä,0.0,27.0,0         ,7         ,34        ,eduskuntaryhma,2018-02-06 11:17:00
637701,1006484,36213.0,Vihreä eduskuntaryhmä,0.0,13.0,0         ,2         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
637702,1006485,36213.0,Vasemmistoliiton eduskuntaryhmä,0.0,9.0,0         ,3         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
637703,1006486,36213.0,Ruotsalainen eduskuntaryhmä,0.0,5.0,0         ,5         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
637704,1006487,36213.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,5.0,0         ,0         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
638447,1007230,36243.0,Keskustan eduskuntaryhmä,39.0,0.0,0         ,10        ,49        ,eduskuntaryhma,2018-02-06 11:17:00
638448,1007231,36243.0,Kansallisen kokoomuksen eduskuntaryhmä,35.0,0.0,0         ,2         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
638449,1007232,36243.0,Perussuomalaisten eduskuntaryhmä,33.0,0.0,0         ,4         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
638450,1007233,36243.0,Sosialidemokraattinen eduskuntaryhmä,0.0,30.0,0         ,4         ,34        ,eduskuntaryhma,2018-02-06 11:17:00
638451,1007234,36243.0,Vihreä eduskuntaryhmä,0.0,12.0,0         ,3         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
638452,1007235,36243.0,Vasemmistoliiton eduskuntaryhmä,0.0,12.0,0         ,0         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
638453,1007236,36243.0,Ruotsalainen eduskuntaryhmä,3.0,0.0,6         ,1         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
638454,1007237,36243.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,5.0,0         ,0         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
639197,1007980,36273.0,Keskustan eduskuntaryhmä,41.0,0.0,0         ,8         ,49        ,eduskuntaryhma,2018-02-06 11:17:00
639198,1007981,36273.0,Kansallisen kokoomuksen eduskuntaryhmä,32.0,0.0,0         ,5         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
639199,1007982,36273.0,Perussuomalaisten eduskuntaryhmä,35.0,0.0,0         ,2         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
639200,1007983,36273.0,Sosialidemokraattinen eduskuntaryhmä,0.0,29.0,0         ,5         ,34        ,eduskuntaryhma,2018-02-06 11:17:00
639201,1007984,36273.0,Vihreä eduskuntaryhmä,0.0,10.0,0         ,5         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
639202,1007985,36273.0,Vasemmistoliiton eduskuntaryhmä,0.0,11.0,0         ,1         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
639203,1007986,36273.0,Ruotsalainen eduskuntaryhmä,9.0,0.0,0         ,1         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
639204,1007987,36273.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,5.0,0         ,0         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
640497,1009280,36325.0,Keskustan eduskuntaryhmä,47.0,0.0,0         ,2         ,49        ,eduskuntaryhma,2018-02-06 11:17:00
640498,1009281,36325.0,Kansallisen kokoomuksen eduskuntaryhmä,35.0,0.0,0         ,2         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
640499,1009282,36325.0,Perussuomalaisten eduskuntaryhmä,32.0,0.0,0         ,5         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
640500,1009283,36325.0,Sosialidemokraattinen eduskuntaryhmä,0.0,33.0,0         ,1         ,34        ,eduskuntaryhma,2018-02-06 11:17:00
640501,1009284,36325.0,Vihreä eduskuntaryhmä,0.0,13.0,0         ,2         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
640502,1009285,36325.0,Vasemmistoliiton eduskuntaryhmä,0.0,12.0,0         ,0         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
640503,1009286,36325.0,Ruotsalainen eduskuntaryhmä,9.0,0.0,0         ,1         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
640504,1009287,36325.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,5.0,0         ,0         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
640547,1009330,36327.0,Keskustan eduskuntaryhmä,47.0,0.0,0         ,2         ,49        ,eduskuntaryhma,2018-02-06 11:17:00
640548,1009331,36327.0,Kansallisen kokoomuksen eduskuntaryhmä,34.0,0.0,0         ,3         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
640549,1009332,36327.0,Perussuomalaisten eduskuntaryhmä,32.0,0.0,0         ,5         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
640550,1009333,36327.0,Sosialidemokraattinen eduskuntaryhmä,22.0,10.0,0         ,2         ,34        ,eduskuntaryhma,2018-02-06 11:17:00
640551,1009334,36327.0,Vihreä eduskuntaryhmä,0.0,13.0,0         ,2         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
640552,1009335,36327.0,Vasemmistoliiton eduskuntaryhmä,0.0,11.0,0         ,1         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
640553,1009336,36327.0,Ruotsalainen eduskuntaryhmä,0.0,8.0,0         ,2         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
640554,1009337,36327.0,Kristillisdemokraattinen eduskuntaryhmä,5.0,0.0,0         ,0         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
668447,1037230,37443.0,Keskustan eduskuntaryhmä,38.0,0.0,0         ,11        ,49        ,eduskuntaryhma,2018-02-06 11:17:00
668448,1037231,37443.0,Perussuomalaisten eduskuntaryhmä,30.0,0.0,0         ,6         ,36        ,eduskuntaryhma,2018-02-06 11:17:00
668449,1037232,37443.0,Kansallisen kokoomuksen eduskuntaryhmä,30.0,0.0,0         ,7         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
668450,1037233,37443.0,Sosialidemokraattinen eduskuntaryhmä,0.0,27.0,0         ,8         ,35        ,eduskuntaryhma,2018-02-06 11:17:00
668451,1037234,37443.0,Vihreä eduskuntaryhmä,0.0,10.0,0         ,5         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
668452,1037235,37443.0,Vasemmistoliiton eduskuntaryhmä,0.0,11.0,0         ,1         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
668453,1037236,37443.0,Ruotsalainen eduskuntaryhmä,0.0,7.0,0         ,3         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
668454,1037237,37443.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,5.0,0         ,0         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
